location,dept,below 0,0-10,10-20,20-30,30-40,40-50,50-60,60-70,70-80,80-90,90-100,above 100
CO VALLECITO DAM,94,9736.503496503496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT Bisson Creek,21,516.4405594405595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,14,3929.667095115681,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LA ROBSON,51,4.611650485436893,2.5714285714285716,3.375,1.4545454545454546,2.8333333333333335,2.090909090909091,1.75,1.3125,1.4,1.875,2.2857142857142856,1.263157894736842
WA Thunder Basin,47,-0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK Summit Creek,25,1334.831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NM MOUNTAINAIR,22,15.676258992805755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,80,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT Bisson Creek,1,1621.2447552447552,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK AURORA,24,0.2777777777777778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NM MOUNTAINAIR,23,5.92991452991453,2.0,3.0,3.8,NaN,NaN,NaN,9.0,NaN,NaN,NaN,NaN
CO VALLECITO DAM,95,21033.286713286714,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,81,372.59124087591243,397.0,NaN,460.0,434.0,NaN,430.0,NaN,NaN,NaN,NaN,323.0
MT Bisson Creek,2,3363.6573426573427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,16,3794.082722513089,3623.3636363636365,4118.555555555556,4396.2,3920.3333333333335,4070.75,3546.0,5071.5,5960.5,5648.0,NaN,NaN
AK Summit Creek,26,1022.394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LA ROBSON,52,251.23489932885906,233.41176470588235,242.05555555555554,226.7941176470588,228.8095238095238,227.0,204.96969696969697,205.7027027027027,189.83333333333334,202.75,198.1818181818182,201.28846153846155
AK AURORA,25,9.125874125874127,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WA Thunder Basin,48,108.49674620390455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT Bisson Creek,22,899.8251748251748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,50,394.2163009404389,383.0,203.0,344.0,379.5,279.0,NaN,NaN,NaN,NaN,NaN,NaN
CO VALLECITO DAM,96,5477.5944055944055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NM MOUNTAINAIR,24,1.2592592592592593,NaN,NaN,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK AURORA,26,0.8888888888888888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK Summit Creek,27,172.649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NV TUSCARORA,82,553.8884254431699,525.0,NaN,572.0,556.0,NaN,552.0,NaN,NaN,NaN,NaN,486.5
MT Bisson Creek,23,1608.7202797202797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,17,1671.7120418848167,1746.3636363636363,1698.4444444444443,1503.8,1642.3333333333333,1605.0,1575.5,1617.5,1415.5,1766.0,NaN,NaN
NE IMPERIAL,71,500.32576617480134,456.2631578947368,424.2142857142857,402.46153846153845,426.0,397.125,321.25,436.6666666666667,303.0,NaN,250.0,NaN
AK SALCHA ALASKA,16,1154.7262210796914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WA Thunder Basin,49,5.074688796680498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KS HORTON,20,490.2603062426384,588.1578947368421,576.5454545454545,533.1052631578947,575.2142857142857,597.6,591.6666666666666,560.2727272727273,600.6,596.3636363636364,584.7777777777778,567.1176470588235
MT Bisson Creek,3,1090.2797202797203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,51,0.47191011235955055,0.0,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GA EDISON,1,365.05757575757576,276.64285714285717,302.4117647058824,269.6521739130435,308.4375,246.57894736842104,262.92857142857144,208.33333333333334,303.6,164.66666666666666,209.0,NaN
LA ROBSON,54,12.60387323943662,11.294117647058824,14.647058823529411,13.612903225806452,20.428571428571427,14.416666666666666,15.129032258064516,14.5,15.5,14.25925925925926,14.941176470588236,10.8125
MT Bisson Creek,24,320.0769230769231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK AURORA,27,2.8072289156626504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,17,2364.0938303341904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO VALLECITO DAM,97,5619.370629370629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK Summit Creek,28,86.034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NM MOUNTAINAIR,25,10.354443309499489,6.5,12.2,12.428571428571429,4.0,11.0,14.0,11.0,NaN,NaN,NaN,NaN
KS HORTON,21,943.9411071849235,932.2105263157895,945.5454545454545,879.0,949.1428571428571,951.2,909.8,922.7272727272727,885.7,951.0,966.3333333333334,867.8235294117648
MT Bisson Creek,4,2106.3216783216785,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NE IMPERIAL,72,7607.305334846765,6042.631578947368,6082.5,6027.307692307692,6122.818181818182,6074.25,6498.0,6122.0,5908.0,NaN,7011.0,NaN
WI HALES CORNERS-WHITNALL PK,18,1689.1078431372548,2.909090909090909,2.3333333333333335,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,NaN,NaN,NaN
NM MOUNTAINAIR,26,0.14285714285714285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CO VALLECITO DAM,98,2143.72027972028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TX HEBBRONVILLE,79,1239.8604118993135,1257.4333333333334,1223.0,1261.0,1237.52,1244.8235294117646,1236.1944444444443,1228.1346153846155,1238.4888888888888,1184.7543859649122,1210.204081632653,1245.3469387755101
KS HORTON,22,925.0494699646644,943.2105263157895,911.4545454545455,860.9473684210526,895.7857142857143,901.2,894.7333333333333,901.1818181818181,876.8,917.9090909090909,982.7777777777778,877.5294117647059
LA ROBSON,55,2442.4261744966443,1316.8235294117646,1405.9444444444443,1291.1764705882354,1505.2857142857142,1290.0,1356.7272727272727,1505.4324324324325,1351.625,1266.892857142857,1234.3636363636363,1158.0
CA HERNANDEZ CALIFORNIA,10,23.96825396825397,28.761904761904763,24.9375,29.962962962962962,28.285714285714285,26.916666666666668,30.666666666666668,34.166666666666664,22.0,29.0,23.75,41.2
MT Bisson Creek,5,1927.3076923076924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GA EDISON,2,1068.6424242424243,1071.9285714285713,1087.3529411764705,1064.2173913043478,1081.375,1027.0,1017.2857142857143,958.1666666666666,1028.2,1012.0,1067.5,NaN
MT Bisson Creek,25,708.6013986013986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT GINGER MONTANA,52,320.8181818181818,290.0,269.0,235.33333333333334,303.5,293.0,NaN,NaN,NaN,NaN,NaN,NaN
AK AURORA,28,19.46853146853147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WI HALES CORNERS-WHITNALL PK,19,-0.4189189189189189,-1.5,NaN,-2.0,-2.0,NaN,NaN,-1.0,NaN,-1.0,NaN,NaN
AK Summit Creek,29,624.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,18,981.075780089153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CA HERNANDEZ CALIFORNIA,11,38.96457142857143,45.476190476190474,38.0625,48.0,43.214285714285715,44.583333333333336,44.666666666666664,60.166666666666664,65.33333333333333,31.0,43.25,48.2
CO VALLECITO DAM,99,88.61904761904762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LA ROBSON,56,699.8473154362416,1668.8823529411766,2177.777777777778,1526.4411764705883,1264.3333333333333,1869.48,982.0909090909091,1154.1891891891892,1115.0416666666667,817.7857142857143,682.3181818181819,600.7307692307693
NM MOUNTAINAIR,27,3.9432624113475176,2.0,0.0,3.6,NaN,NaN,NaN,9.0,NaN,NaN,NaN,NaN
CO Nast Lake,80,5095.279022403259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MT Bisson Creek,26,285.9230769230769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AK SALCHA ALASKA,19,-1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GA EDISON,3,33.22727272727273,40.5,33.23529411764706,54.30434782608695,50.125,43.89473684210526,57.07142857142857,45.916666666666664,87.0,45.0,26.5,NaN
KS HORTON,23,1982.7173144876326,2136.2105263157896,2213.7272727272725,2254.4210526315787,2180.714285714286,2233.5333333333333,2082.4,2240.0,2087.0,2069.3636363636365,2130.4444444444443,2079.3529411764707
