location,dept,a,b,c
CO VALLECITO DAM,94,8809.263157894737,9241.920634920634,9741.0
NV TUSCARORA,80,NaN,2.0,2.0
CO VALLECITO DAM,95,18751.678947368422,20166.81746031746,19931.14285714286
NV TUSCARORA,81,326.58288770053474,333.14736842105265,339.9767441860465
CO VALLECITO DAM,98,2290.294736842105,1844.4444444444443,1841.0
AK HIDDEN FALLS HATCHERY,20,546.0047169811321,667.8547008547008,NaN
AK HIDDEN FALLS HATCHERY,22,1314.5141509433963,990.1880341880342,NaN
AK HIDDEN FALLS HATCHERY,24,991.2169811320755,993.7948717948718,NaN
CO VALLECITO DAM,30,1076.1315789473683,1129.3333333333333,1083.0
AK HIDDEN FALLS HATCHERY,26,1229.5566037735848,866.4358974358975,NaN
CO VALLECITO DAM,32,2216.278947368421,1425.611111111111,1294.0
TN WHITE HOUSE,52,143.66666666666666,131.98888888888888,113.21527777777777
AK Granite Crk,2,5101.135135135135,5003.125,4888.5
AK HIDDEN FALLS HATCHERY,28,120.65566037735849,67.7008547008547,NaN
NV TUSCARORA,20,186.2139037433155,179.16842105263157,180.8139534883721
CO VALLECITO DAM,34,3289.0526315789475,3073.2936507936506,3185.0
NV TUSCARORA,22,420.11229946524065,301.85263157894735,249.67441860465115
AK Granite Crk,4,2959.1576576576576,2945.0576923076924,2996.0
CO VALLECITO DAM,36,333.1,351.46031746031747,420.2142857142857
TN WHITE HOUSE,54,16.455555555555556,12.202247191011235,7.846715328467154
AK Granite Crk,6,669.7297297297297,500.0576923076923,334.0
CO VALLECITO DAM,38,11401.631578947368,10756.095238095239,10798.714285714286
TN WHITE HOUSE,56,268.3958333333333,313.81111111111113,114.53472222222223
NV TUSCARORA,24,215.3048128342246,171.76842105263157,203.8139534883721
NV TUSCARORA,26,297.4812834224599,221.94736842105263,188.72093023255815
AK Granite Crk,8,3762.175675675676,3584.7403846153848,3552.0
NV TUSCARORA,28,40.49732620320856,26.71578947368421,21.209302325581394
AK HIDDEN FALLS HATCHERY,91,8707.650943396226,8977.68376068376,NaN
AK HIDDEN FALLS HATCHERY,93,9469.400943396226,9445.555555555555,NaN
AK HIDDEN FALLS HATCHERY,95,16206.528301886792,17716.726495726496,NaN
AK HIDDEN FALLS HATCHERY,97,4725.721698113208,4917.025641025641,NaN
AK HIDDEN FALLS HATCHERY,99,NaN,0.0,NaN
NV TUSCARORA,91,144.7058823529412,223.74736842105264,228.69767441860466
NV TUSCARORA,95,2411.128342245989,2839.5263157894738,2887.4186046511627
NV TUSCARORA,98,0.0,0.0,0.0
AK HIDDEN FALLS HATCHERY,32,1471.188679245283,962.0512820512821,NaN
AK HIDDEN FALLS HATCHERY,34,1721.8537735849056,1587.8034188034187,NaN
AK HIDDEN FALLS HATCHERY,1,3917.816037735849,2365.3504273504273,NaN
CO VALLECITO DAM,40,11227.842105263158,10410.126984126984,10269.142857142857
AK HIDDEN FALLS HATCHERY,3,1471.1132075471698,2473.4358974358975,NaN
AK HIDDEN FALLS HATCHERY,36,165.93867924528303,286.9230769230769,NaN
TN WHITE HOUSE,60,20.489583333333332,18.533333333333335,19.083333333333332
CO VALLECITO DAM,42,1272.5894736842106,1320.404761904762,1272.5
AK HIDDEN FALLS HATCHERY,38,12455.77358490566,12035.299145299145,NaN
CO VALLECITO DAM,44,835.8578947368421,705.5952380952381,637.1428571428571
NV TUSCARORA,30,138.00534759358288,143.02105263157895,150.46511627906978
AK HIDDEN FALLS HATCHERY,5,4135.830188679245,2510.25641025641,NaN
AK HIDDEN FALLS HATCHERY,8,5058.415094339623,4832.589743589743,NaN
NV TUSCARORA,33,240.66844919786095,212.98947368421054,243.11627906976744
CO VALLECITO DAM,47,20.392857142857142,1.7,4.0
NV TUSCARORA,35,185.50267379679144,188.57894736842104,162.41860465116278
NV TUSCARORA,2,1694.8395721925133,1736.2526315789473,1742.8372093023256
TN WHITE HOUSE,67,340.6354166666667,289.0444444444444,266.3333333333333
CO VALLECITO DAM,49,987.8947368421053,1033.7460317460318,847.7142857142857
NV TUSCARORA,4,1381.3582887700534,1405.6,1393.953488372093
NV TUSCARORA,6,289.96256684491976,185.83157894736843,142.25581395348837
NV TUSCARORA,8,1958.855614973262,1858.3052631578948,1812.6511627906978
CO VALLECITO DAM,96,4716.510526315789,4629.4047619047615,4644.857142857143
NV TUSCARORA,82,614.812834224599,491.4315789473684,478.6744186046512
AK HIDDEN FALLS HATCHERY,40,8558.72641509434,7875.9059829059825,NaN
AK HIDDEN FALLS HATCHERY,45,3.9096045197740112,2.9130434782608696,NaN
CO VALLECITO DAM,51,0.7941176470588235,0.25,0.0
AK HIDDEN FALLS HATCHERY,47,-24.5,NaN,NaN
TN WHITE HOUSE,71,170.54166666666666,112.65555555555555,111.05555555555556
CO VALLECITO DAM,55,3355.3894736842103,2059.1746031746034,2067.5714285714284
NV TUSCARORA,41,45.97860962566845,44.578947368421055,36.69767441860465
AK HIDDEN FALLS HATCHERY,49,1674.3396226415093,1602.940170940171,NaN
NV TUSCARORA,44,190.10695187165774,178.34736842105264,158.0
CO VALLECITO DAM,58,1005.1,1157.5,1259.857142857143
TN WHITE HOUSE,79,1055.375,990.6333333333333,975.4791666666666
NV TUSCARORA,47,0.0,NaN,NaN
TN WHITE HOUSE,11,951.4166666666666,838.4111111111112,1030.3680555555557
TN WHITE HOUSE,13,1559.5416666666667,1605.6444444444444,1583.4375
TN WHITE HOUSE,17,451.8958333333333,378.9111111111111,341.4166666666667
TN WHITE HOUSE,19,139.04166666666666,122.33333333333333,104.99305555555556
AK HIDDEN FALLS HATCHERY,52,435.9481132075472,327.4017094017094,NaN
AK HIDDEN FALLS HATCHERY,55,2295.0330188679245,1567.3418803418804,NaN
TN WHITE HOUSE,81,164.59375,163.98888888888888,152.45833333333334
NV TUSCARORA,51,0.42424242424242425,0.0,NaN
AK HIDDEN FALLS HATCHERY,59,290.70283018867923,106.1025641025641,NaN
CO VALLECITO DAM,67,1893.9473684210527,1639.4285714285713,1406.2857142857142
TN WHITE HOUSE,85,131.625,133.4777777777778,161.34722222222223
TN WHITE HOUSE,87,135.78125,123.2,128.88888888888889
NV TUSCARORA,55,592.475935828877,408.4,401.09302325581393
NV TUSCARORA,59,19.112299465240643,10.2,9.953488372093023
TN WHITE HOUSE,21,181.73958333333334,157.62222222222223,154.86111111111111
TN WHITE HOUSE,23,1536.7395833333333,1099.088888888889,1174.451388888889
TN WHITE HOUSE,25,571.1041666666666,526.9333333333333,493.6875
AK Granite Crk,11,2482.3198198198197,2880.7596153846152,2456.0
AK Granite Crk,13,3631.698198198198,3608.019230769231,3656.5
TN WHITE HOUSE,27,118.33333333333333,59.63333333333333,60.69444444444444
CO VALLECITO DAM,97,5252.4631578947365,5595.269841269841,5708.5
TN WHITE HOUSE,28,37.541666666666664,27.988888888888887,18.92361111111111
AK Granite Crk,14,1775.6936936936936,1259.423076923077,1324.5
AK Granite Crk,16,1699.1486486486488,3919.778846153846,2781.5
AK Granite Crk,18,1347.8309859154929,2.019230769230769,2.0
CO VALLECITO DAM,71,1019.5631578947368,949.1984126984127,1091.5714285714287
TN WHITE HOUSE,91,27.322916666666668,39.166666666666664,45.88194444444444
